Video_Content,Published_Date,Video_Length,Liked_Count,Comment_Count,Shared_Count,Product_Count,Video_URL
请大数据推给毛孔粗大有黑头的油痘肌姐妹！这个安酸绿泥膜真的太好用啦！#蒂佳婷安酸绿泥膜#油痘肌#蒂佳婷安酸瓶,2023-02-24 17:01:19,1分30秒,118332,1645,4835,,https://www.douyin.com/share/video/7203584339920178489?
年龄不是决定我们状态的数字，阅历的沉淀恰好丰富着整个人生！#陈彦妃的vlog #希思黎全能乳液,2023-03-05 17:00:05,3分5秒,116714,5119,1039,,https://www.douyin.com/share/video/7206956024467672378?
女生的袜子来啦！天气热了就需要这种袜子！#袜子 #女袜 #很哇塞的袜子,2023-02-25 17:35:10,19秒,114787,2804,13810,,https://www.douyin.com/share/video/7204024673808469287?
全世界都想要你懂事，但爱你的人只想给你所有的偏爱。,2023-03-16 20:02:08,4分57秒,113651,3121,4829,,https://www.douyin.com/share/video/7211077337889164556?
方圆脸女孩也能拍这个“仰拍广角樱花照”啦#拍照 #养发 #洗发水 #樱花拍照,2023-03-22 18:00:36,1分32秒,112626,4572,14006,,https://www.douyin.com/share/video/7212894599457590588?
姐妹们一定要贴这个纯野小恶魔懒人三部曲2.0#眼妆 #美妆 #平价彩妆 #懒人必备 #三部曲,2023-03-10 10:22:13,13秒,112250,4892,11096,,https://www.douyin.com/share/video/7208737203856444724?
没想到这个香氛身体乳被柜姐配了这个价位的香水！！#丝芙格芮,2023-02-28 12:00:22,2分12秒,111881,2000,3163,,https://www.douyin.com/share/video/7203206404537126155?
我们各有过去，但共有未来，相爱时都想一辈子，但迁就才能一辈子。@KONO精选,2023-04-09 10:00:10,4分59秒,111590,1918,2967,,https://www.douyin.com/share/video/7218617679853129016?
#二代棉底钢丝短袜 #透气舒适不臭脚 #不起球不勾丝 #好穿又好搭 #爆款热卖中 @DOU+小助手 @巨量千川,2023-02-28 05:06:51,7秒,111103,2608,11269,,https://www.douyin.com/share/video/7204945057214926119?
带着本命防晒来三亚从来不带怕的，快乐碎片#三亚 #unny防晒霜,2023-04-05 17:00:34,2分28秒,110858,1499,6041,,https://www.douyin.com/share/video/7218435744333843727?
这个夏天，这条适合学生党闭眼入的口粮实战球裤，你还在犹豫什么？#服饰种草官 #短裤推荐 #夏日必备,2023-03-24 19:15:51,1分2秒,110789,1626,2545,,https://www.douyin.com/share/video/7214069919661477131?
每个女孩子骨子里都是温柔的，如果有一天变得暴躁了，可能是环境改变了她#墨雪洗发水  @墨雪旗舰店,2023-04-15 15:45:20,4分58秒,110209,1671,6603,,https://www.douyin.com/share/video/7222126716725120317?
换季敏敏怎么办？别怕，先把洗面奶选对！#洁面 #换季护肤 #妮维雅油敏肌洗面奶,2023-02-25 18:00:44,3小时2分50秒,107668,1288,4382,,https://www.douyin.com/share/video/7203764371078565157?
小众冷门宝藏，打造小v脸的秘籍，提拉绝佳，拒绝发腮！#DXV小脸面膜   #抗老  #千人大小脸挑战,2023-03-30 18:00:33,2分55秒,107634,2614,1894,,https://www.douyin.com/share/video/7216138743856631077?
